"name","sku","description","type"
"Dalai Lama Print","DL3-PL-PR","His Holiness The Dalai Lama, In Namaste Posture, Print","
Custom 8 X 10 Art Print"
"Dalai Lama Card","DL-2-PL","His Holiness The Dalai Lama In Prayer Card","
Greeting Card With Matching Envelope"
"Dalai Lama Card","DL3-PL","His Holiness The Dalai Lama Namaste Card","
Greeting Card With Matching Envelope"
"Wisdom Dragon Card","DRAG-PL","Tibetan Wisdom Dragon Card","
Greeting Card With Matching Envelope"
"Wisdom Dragon Embellished Card","DRAG-EMB","In the East, dragons have always been regarded as symbols of power and regality. In ancient times, only imperial rulers could use the icon of these wise and noble creatures. Dragons can bring good fortune and rain to the land, as well as give spiritual and material gifts to its people. They are truley magical and wise creatures, who will only fully reveal themselves to those mortals who are without fear.","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope"
"Durga Embellished Card","DUR-3-EMB","Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope",""
"Maa Durga Card","DUR-3-PL","Hindu Goddess Maa Durga Card, Banisher of Darkness","
Greeting Card With Matching Envelope"
"Goddess Durga Card","DUR-4-PL","Durga, Banisher of Darkness, Card","
 Greeting Card With Matching Envelope"
"Ganesh Candle","CAN-GAN-YE","Lord Ganesh, Remover of Obstacles Candle","
3 X 6 White, unscented, wax pillar candle with a lead-free wick. Burn time 50-60 hours."
"Fortuna, Goddess of Fortune Card","FORT-PL","Fortuna, Goddess of Fortune Card","
Greeting Card With Matching Envelope"
"Goddess Lakshmi Card","LAK-PL","Lakshmi, Goddess of Beauty, Abundance, and Love Card","
<span> Greeting Card With Matching Envelope</span>"
"Saint Francis Animal Prayer Card","FRA-BDS-PL","St. Francis Of Assisi's Prayer For The Animals Card","
Greeting Card With Matching Envelope"
"Freedom Card","FREE-PL","Greeting Card With White Envelope",""
"Frida Kahlo Card","FRI-CH-PL","Frida Kahlo With Angel and Butterfly, by Artist Frances Perea","
Greeting Card With White Envelope"
"Guardian Angel Card","GA-1-PL","Guardian Angel With Child Card","
Greeting Card With Matching Envelope"
"Goddess Fortuna Embellished Card","FORT-EMB","Fortuna, Goddess of Fortune - Prove to me now herewith sayeth the Lord of Hosts, if I will not open you the windows of Heaven and pour you out a blessing that there shall not be room enough to receive it. ~ Malachi 3:10","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope"
"Amitabha Buddha Embellished Card","BUD-AM-EMB","Amitabha, or Meditation Buddha, is the Buddha of Infinite Light. His hands are held in the Dhyani mudra, symbolizing absolute balance and equanimity. He presides over Pure Land or the Realm of Bliss. His luminous, discriminating awareness transmutes all attachment and desire.","
Greeting Card, Hand-Embellished With Glitter And Crystals, With Matching Envelope."
"Lord Vishnu Embellished Card","VISH-2-EMB","I bow to Lord Vishnu. The lotus issues forth from this navel and He is the very Universe. He is the supreme among the Gods, the consort of Lakshmi, and He is resplendent like the sky, with the color of the clouds. His eyes are beautiful like the lotus and He is ever in the hearts of His beloved devotees. He is the one and only Lord of creation and can save us from the cycle of repeated births and deaths.","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope"
"Goddess Shakti Embellished Card","SHAK-4-EMB","Divine Feminine Creative Force: The word Shakti is from Sanskrit ""shak"" or ""to be able."" She is the sacred force or empowerment which is the primordial cosmic energy representing the dynamic forces that move through the entire universe. Shakti is the concept, or personification, of divine feminine creative power, sometimes referred to as ""The Great Divine Mother.""","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope"
"Goddess Shakti Embellished Card","SHAK-EMB","Divine Feminine Creative Force: The word Shakti is from Sanskrit ""shak"" or ""to be able."" She is the sacred force or empowerment which is the primordial cosmic energy representing the dynamic forces that move through the entire universe. Shakti is the concept, or personification, of divine feminine creative power, sometimes referred to as ""The Great Divine Mother.""","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope"
"Goddess Shakti Embellished Card","SHAK-2-EMB","Divine Feminine Creative Force: The word Shakti is from Sanskrit ""shak"" or ""to be able."" She is the sacred force or empowerment which is the primordial cosmic energy representing the dynamic forces that move through the entire universe. Shakti is the concept, or personification, of divine feminine creative power, sometimes referred to as ""The Great Divine Mother.""","
Greeting Card, Hand-Embellished With Glitter and Crystals, With Matching  Envelope"
"Archangel Michael Embellished Card","MIC-BLK-EMB","<span class=""normal"">Archangel Michael</span><br />His name means ""Who is as God.""<br />Michael is the Chief of the Archangels, and is the Angel of Repentance, Righteousness, Mercy and Sanctification.<br />He is also known as ""The Prince of Light,""<br />a spiritual warrior who wages war against the sons of darkness.","
Greeting Card, Hand-Embellished With Glitter and Crystals"
"Goddess Shakti Embellished Card","SHAK-3-EMB","Divine Feminine Creative Force: The word Shakti is from Sanskrit ""shak"" or ""to be able."" She is the sacred force or empowerment which is the primordial cosmic energy representing the dynamic forces that move through the entire universe. Shakti is the concept, or personification, of divine feminine creative power, sometimes referred to as ""The Great Divine Mother.""","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope"
"White Tara Embellished Card","WT-CL-EMB","Goddess of Health, Long Life and Prosperity - Tara was born of a tear of Avalokiteshwar. She is the Mother of Compassion who answers all prayers. Tara appears in as many as 21 different forms and colors, of which White and Green are the oldest. Tara offers health, long life, growth, prosperity and protection to all who call on her.","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Kuan Yin Embellished Card","KY-LO-EMB","""Listen to the deeds of Kuan Yin responding compassionately on every side with great vows, deep as the ocean, through inconceivable periods of time, serving innumerable Buddhas, giving great, clear, and pure vows. To hear her name, to see her body, to hold her in the heart, is not in vain, for she can extinguish the suffering of existence."" ~ From the Buddhist Lotus Sutra","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Our Lady of Guadalupe Embellished Print","GUAD-PB-EMB-PR","Our Lady of Guadalupe 
Hand-Embellished Print With Glitter and Crystals","
From an Original Watercolor by Santa Fe Artist Patti Blair"
"Medicine Buddha Embellished Card","BUD-MD-EMB","The Master of remedies releases all sentient beings from affliction. He holds in his right hand a sprig of chebulic myrobalm from which Tibetan medicine is compounded. In his left hand he holds a bowl that contains three forms of ambrosia: the nectar that cures disease and resurrects the dead: the nectar that counteracts aging; and the supreme nectar that illuminates the mind and increases knowledge.","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Sakyamuni Buddha Embellished Card","BUD-SA-EMB","The Enlightened One - Buddha, in the sixth century BC, at the age of 35, invoked the earth as his witness when he attained Enlightenment. This is indicated by the fingers of his right hand in the ""gesture of touching the earth"". The sun and moon stood still, and all the creatures of the world came to offer obeisance to the Supreme One sitting under the Bodhi Tree.","
Greeting Card, Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"The Buddha Embellished Print","BUD-BEL-EMB-PR","The Buddha","
Hand-Embellished Print With Crystals and Glitter"
"Kuan Yin Card","KY-OL-PL","Kuan Yin is the Bodhisattva of Compassion. Her name means ""Hearer of the Cries of the World."" She is the most beloved and revered of the Chinese deities. Kuan Yin is the Divine Mother we all long for: merciful, tender, compassionate, loving, protecting and wise. She quietly comes to the aid of her children everywhere. Her mantra is 'Om Mani Padme Hum&sbquo;' or 'Hail the Jewel (or pearl) in the Lotus.'","
Greeting Card With White Envelope"
"Shakti, Divine Feminine Creative Force Card","SHAK-4-GD-PL","Shakti, Divine Feminine Creative Force of the Universe","
Greeting Card With White Envelope"
"Kuan Yin Riding The Dragon Embellished Card","KY-DG-EMB","Kuan Yin On The Dragon Embellished Card","
Greeting Card Hand-Embellished With Glitter And Crystals, With Matching Envelope"
"Antelope Canyon Passage Card","AN-CAN-PAS-PL","Passage Through Antelope Canyon, Arizona, Card","
Greeting Card With Matching Envelope"
"Green Tara Embellished Card","GT-1-EMB","Tara was born of a tear of Avalokiteshwara -- she is the Mother of Compassion who answers all prayers. Tara appears in as many as 21 different forms and colors, of which White and Green are the oldest. Tara offers health, long life, growth, prosperity and protection to all who call on her.","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Green Tara Embellished Print","GT-1-EMB-PR","Tara was born of a tear of Avalokiteshwara -- she is the Mother of Compassion who answers all prayers. Tara appears in as many as 21 different forms and colors, of which White and Green are the oldest. Tara offers health, long life, growth, prosperity and protection to all who call on her.","
Custom Print, Hand-Embellished With Glitter and Crystals"
"Jesus Christ in Lotus Posture Embellished Card","JE-LO-EMB","The Lord is my shepherd; I shall not want. He maketh me to lie down in green pastures: he leadeth me beside the still waters. He restoreth my soul: he leadeth me in the paths of righteousness for his name's sake. Yea, though I walk through the valley of the shadow of death, I will fear no evil: for thou art with me; thy rod and thy staff they comfort me. Thou preparest a table before me in the presence of mine enemies: thou anointest my head with oil; my cup runneth over. Surely goodness and mercy shall follow me all the days of my life: and I will dwell in the house of the Lord for ever. ~ 23rd Psalm","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Buddha Card","BUD-AM-PL","Greeting Card With White Envelope",""
"Christ The Compassionate Embellished Card","CHR-HT-EMB","Christ The Compassionate One, By Charles B. Chambers, Embellished Card","
Greeting Card, Hand-Embellished With Glitter And Crystals, With Matching Envelope"
"Mary and Child Embellished Card","MC-MOD-EMB","Mary and Child Embellished Card","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Kali Embellished Card","KAL-BLK-EMB","Slayer of Time &amp; Death, Destroyer of Illusion: Kali literally means both 'death' and 'time.' Goddess Kali represents the state where time, space and causation have disappeared. She is both the destroyer and creatrix and is the consort of Lord Shiva. ""My child, you need not know much in order to please Me.  Only Love Me dearly. Speak to me, as you would talk to your mother, if she had taken you in her arms.""","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope"
"Lord Shiva Embellished Card","SHI-N-EMB","Lord Shiva is the third deity in the Hindu Triad. Shiva represents the aspect of the Supreme Reality that continuously dissolves and recreates the universe. He is the Lord of Mercy and Compassion since without the cyclic process of evolution souls could not evolve and attain liberation. Shiva protects his devotees from lust, greed, and anger. He is the most kind-hearted God who grants boons and bestows grace to his devotees.","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Lord Shiva Embellished Card","SHI-D-EMB","Lord Shiva is the third deity in the Hindu Triad. Shiva represents the aspect of the Supreme Reality that continuously dissolves and recreates the universe.  He is the Lord of Mercy and Compassion since without the cyclic process of evolution, souls could not evolve and attain liberation.","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Goddess Saraswati Embellished Card","SARA-ST-EMB","Saraswati is the Goddess of Creativity, Inspiration &amp; Language. She is the consort of Brahma the Creator and is the Procreatrix or Mother of the entire Creation. Saraswati means ""the flowing one."" She is the personification of all knowledge - arts, language, music, mathematics and science.","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"&quot;Celebrate&quot; Card","M-CEL-PL","""Celebrate"" Card, Image by Maxfield Parrish","
Greeting Card With Matching Envelope"
"Goddess Lakshmi Embellished Card","LAK-EMB","Goddess Lakshmi Embellished Card
Greeting Card, Hand-Embellished With Glitter And Crystals, With Matching Envelope
 
 ","
Hindu Goddess of Love, Beauty, and Prosperity"
"Christ At 33 Card","CHR-33-PL","Christ At 33 Card, By Heinrich Hoffmann","
<span class=""smallPrint"">Greeting Card With Matching Envelope</span>"
"Goddess Lakshmi Embellished Print","LAK-EMB-PR","Salutations to you, Oh Goddess Lakshmi. You are the divine mother, the seat of all prosperity, and worshipped even by the Gods. You hold the conch, the divine wheel and the mace in your hands. We worship the great Goddess and all Hail to the spouse of Vishnu. May Mother Lakshmi stimulate us and make us flourish.","
Embellished Handmade Print"
"Krishna & Radha Embellished Card","K&R-EMB","Lord Krishna is the eighth incarnation of Lord Vishnu. He is the supreme<br />statesman, warrior, hero, teacher and philosopher, and author of the Bhagavad Gita. He has been called 'The Divine Ecstatic' because the sound of Krishna's flute beckons souls to awaken and to become absorbed in the call of the Divine. Radha is Lord Krishna's consort. She symbolizes the individual soul that yearns for, and then awakens to the love of God: finally realizing complete Divine Union.","
Greeting Card Hand-embellished With Glitter and Crystals, With Matching Envelope"
"Lord Hanuman Embellished Card","HAN-2-EMB","God of Loyalty, Devotion and Service, Hanuman inspires us to develop strength and purity to become perfect servants of the Divine. ""I salute, by bowing down my head, the messenger of Sri Rama, Hanuman, who travels as fast as the mind and the wind, who has won over his sense organs, who is the best among the intelligent, who is the son of the wind god and who is the commander in chief of the army of monkeys.""","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope"
"Goddess Savitri Embellished Card","SAV-1-EMB","Goddess Savitri is a manifestation of Goddess Saraswati, the Hindu deity of learning, music, and the arts. She is the consort of Hindu God Brahma. ""A power dwelt in her soul too  great for earth. A bliss lived in her too large for heaven, light too intense for thought and love too boundless, for earth's emotions lit her skies of mind and  spread though her deep and happy seas of soul. All that is sacred in the world drew near to her divine passivity of mood. A marvelous voice of silence breathed its thoughts. All things in Time and Space she had taken for her. In her they moved, in her they lived and were. The whole wide world clung to her for delight."" ~ Sri Aurobindo","
Greeting Card With White Envelope"
"Goddess Saraswati Embellished Card","SAR-4-EMB","Saraswati is the Goddess of Creativity, Inspiration &amp; Language. She is the consort of Brahma the Creator and is the Procreatrix or Mother of the entire Creation. Saraswati means ""the flowing one."" She is the personification of all knowledge - arts, language, music, mathematics and science.","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope"
"Goddess Durga Embellished Card","DUR-4-EMB","Banisher of Darkness, Durga means Invincible. She is all forms of the Divine Mother herself. She is produced from the radiance of all the gods and therefore has their essence in her. Durga is the Divine Mother who protects people from selfishness, jealousy, hatred, anger and ego. She is the slayer of all evil (ignorance) and establisher of harmony. Mother's love and kindness towards her children is the best example of pure love in the universe.","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope"
"Vishnu & Lakshmi Embellished Card","VIS-LAK-EMB","Lord Vishnu &amp; Goddess Lakshmi.","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope"
"Goddess Durga Embellished Card","DUR-2-EMB","Banisher of Darkness, Durga means Invincible. She is all forms of the Divine Mother herself. She is produced from the radiance of all the gods and therefore has their essence in her. Durga is the Divine Mother who protects people from selfishness, jealousy, hatred, anger and ego. She is the slayer of all evil (ignorance) and establisher of harmony. Mother's love and kindness towards her children is the best example of pure love in the universe.","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope"
"Goddess Kali Embellished Card","KAL-BLU-EMB","Slayer of Time &amp; Death, Destroyer of Illusion - Only when you drink from the river of silence shall you indeed sing. And when you have reached the mountain top, then you shall begin to climb. And when the earth shall claim your limbs, then you shall truly dance.","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Mother Mary Embellished Card","MC-LIL-EMB","A Child's Prayer to Mary of the Lilies - ""O Virgin Mary, My Mother. I give to your Immaculate Heart, my body and my soul, my thoughts and my actions. I want to be what you want me to be, and do just what you want me to do. I am not afraid because you are always with me. Help me to love your Son Jesus, with all my heart. And above all things, take my hand in yours so I can always be with you. Amen.""","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Mother Mary Embellished Card","MAR-OB-EMB","Ostra Brama Mary, Circa 1570. This icon is presently found in he chapel of the Dawn Gate of Vilinius, in Lithuania.","
Greeting Card, Hand-Embellished With Glitter And Crystals, With Matching Envelope"
"Mary In Humility Embellished Print","MAR-HUM-EMB-PR","Mary In Humility Embellished Print, From A Russian Orthodox Icon","
8 X 10 Custom Print, Hand-Embellished With Glitter And Crystals"
"Lord Brahma Embellished Print","BRAM-EMB-PR","Lord Brahma is the Creator of the Universe, the Supreme Being, the God of gods. He is the originator and the generator of mankind, and symbolizes the universal mind and the intellect. Brahma uses the swan as His vehicle. A swan possesses exceptional discernment which enables it to distinguish pure milk from a mixture of milk and water. This conveys the idea that there is only one Supreme Reality from which the entire universe emanates.","
Custom Print Hand-embellished with Glitter and Crystals"
"Amitabha Buddha Embellished Print","BUD-AM-EMB-PR","Amitabha, or Meditation Buddha, is the Buddha of Infinite Light. His hands are held in the Dhyani mudra, symbolizing absolute balance and equanimity. He presides over Pure Land or the Realm of Bliss. His luminous, discriminating awareness transmutes all attachment and desire.","
Custom Print Hand-Embellished With Glitter and Crystals"
"Buddha Print","BUD-AM-PL-PR","Custom Print",""
"Medicine Buddha Embellished Print","BUD-MD-EMB-PR","The Master of remedies releases all sentient beings from affliction. He holds in his right hand a sprig of chebulic myrobalm from which Tibetan medicine is compounded. In his left hand he holds a bowl that contains three forms of ambrosia: the nectar that cures disease and resurrects the dead: the nectar that counteracts aging; and the supreme nectar that illuminates the mind and increases knowledge.","
Custom Print Hand-embellished with Glitter and Crystals"
"Medicine Buddha Card","BUD-MD-PL","Healing Medicine Buddha, The Master of Remedies, Card","
Greeting Card With Matching Envelope"
"Bodhisattva Kuan Yin Embellished Card","KY-LI-EMB","<span>Kuan Yin is the Bodhisattva of Compassion. Her name means ""Hearer of the Cries of the World."" She is the most beloved and revered of the Chinese deities. Kuan Yin is the Divine Mother we all long for: merciful, tender, compassionate, loving, protecting and wise. She quietly comes to the aid of her children everywhere. Her mantra is 'Om Mani Padme Hum&sbquo;' or 'Hail the Jewel (or pearl) in the Lotus.'</span>","
<span><span>Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope</span></span>"
"Medicine Buddha Print","BUD-MD-PL-PR","The Master of remedies releases all sentient beings from affliction. He holds in his right hand a sprig of chebulic myrobalm from which Tibetan medicine is compounded. In his left hand he holds a bowl that contains three forms of ambrosia: the nectar that cures disease and resurrects the dead: the nectar that counteracts aging; and the supreme nectar that illuminates the mind and increases knowledge.","
Custom 8 X 10 Art Print"
"Goddess White Tara Embellished Print","WT-2-PB-EMB-PR","Buddhist Goddess White Tara, From an Original Watercolor by Santa Fe Artist Patti Blair","
Custom Print, Hand-Embellished With Glitter and Crystals"
"Sakyamuni Buddha Embellished Print","BUD-SA-EMB-PR","The Enlightened One - Buddha, in the sixth century BC, at the age of 35, invoked the earth as his witness when he attained Enlightenment. This is indicated by the fingers of his right hand in the ""gesture of touching the earth"". The sun and moon stood still, and all the creatures of the world came to offer obeisance to the Supreme One sitting under the Bodhi Tree.","
Custom Print, Hand-embellished with Glitter and Crystals"
"Miraculous Mary Embellished Print","MAR-MIR-EMB-PR","Miraculous Mary By Charles Chambers Print","
8 X 10 Custom Print, Hand-Embellished With Glitter And Crystals."
"Sakyamuni Buddha Print","BUD-SA-PL-PR","The Enlightened One - Buddha, in the sixth century BC, at the age of 35, invoked the earth as his witness when he attained Enlightenment. This is indicated by the fingers of his right hand in the ""gesture of touching the earth"". The sun and moon stood still, and all the creatures of the world came to offer obeisance to the Supreme One sitting under the Bodhi Tree.","
Custom 8 X 10 Art Print"
"Sakyamuni Buddha Card","BUD-SA-PL","Sakyamuni Buddha, The Enlightened One, Card","
Greeting Card With Matching Envelope"
"Chakras Embellished Print","CHAK-EMB-PR","The word chakra is Sanskrit for wheel or disk, and signifies one of seven basic energy centers in the body. Each of these centers correlates to major nerve ganglia branching forth from the spinal column. In addition, the chakras also correlate to levels of consciousness, archetypal elements, developmental stages of life, colors, sounds, body functions, and much, much more. From an original watercolor by Augusta Lucas-Andreae","
<span style=""font-size: 12px; line-height: 14px;"">Custom Hand-Embellished Print With Glitter and Crystals</span>"
"White Tara Embellished Print","WT-PB-EMB-PR","Buddhist Goddess White Tara Print, From an Original Watercolor by Santa Fe Artist Patti Blair","
Custom Hand-Embellished Print With Glitter and Crystals"
"Chakras Print","CHAK-PL-PR","The word chakra is Sanskrit for wheel or disk, and signifies one of seven basic energy centers in the body. Each of these centers correlates to major nerve ganglia branching forth from the spinal column. In addition, the chakras also correlate to levels of consciousness, archetypal elements, developmental stages of life, colors, sounds, body functions, and much, much more. From an original watercolor by Augusta Lucas-Andreae","
Chakras, 8 X 10 Custom Art Print"
"&quot;Blessings Of Health&quot; Card","M-HLTH-PL","Blessings of Health To You Green Tara Card","
Greeting Card With Matching Envelope"
"Chenrezig Embellished Print","CHEN-EMB-PR","""Every person whose heart is moved by love and compassion, who deeply and sincerely acts for the benefit of others without concern for fame, profit, social position, or recognition expresses the activity of Chenrezig."" ~ Bokar Rinpoche","
Custom Print Hand-embellished with Glitter and Crystals"
"Chenrezig Print","CHEN-PL-PR","""Every person whose heart is moved by love and compassion, who deeply and sincerely acts for the benefit of others without concern for fame, profit, social position, or recognition expresses the activity of Chenrezig."" ~ Bokar Rinpoche","
Custom 8 X 10 Art Print"
"Chenrezig Embellished Print","CHEN-GD-EMB-PR","Goddess Chenrezig Embellished Print
Custom Print, Hand-Embellished With Glitter and Crystals","
""Every person whose heart is moved by love and compassion, who deeply and sincerely acts for the benefit of others without concern for fame, profit, social position, or recognition expresses the activity of Chenrezig."" ~ Bokar Rinpoche"
"Chenrezig Print","CHEN-GD-PL-PR","""Every person whose heart is moved by love and compassion, who deeply and sincerely acts for the benefit of others without concern for fame, profit, social position, or recognition expresses the activity of Chenrezig."" ~ Bokar Rinpoche","
Custom 8 X 10 Art Print"
"Jesus Christ Print","CHR-GPS-PL-PR","Custom Print",""
"Christ The Compassionate Card","CHR-HT-PL","Christ The Compassionate Card","
Greeting Card With Matching Envelope"
"Christ The Compassionate Embellished Print","CHR-HT-EMB-PR","The Compassionate One - Our Father, who art in heaven, hallowed be Thy Name. Thy Kingdom come. Thy Will be done, on earth as it is in Heaven. Give us this day our daily bread. And forgive us our trespasses, as we forgive those who trespass against us. And lead us not into temptation, but deliver us from evil. Amen. ~ The Lord's Prayer, given by Jesus to his disciples","
Custom Print Hand-Embellished With Glitter and Crystals"
"Compassionate Christ The Compassionate Print ","CHR-HT-PL-PR","Compassionate Christ By Charles B. Chambers
 ","
8 X 10 Custom Art Print"
"Jesus Christ Print","CHR-PRO-PL-PR","Christ The Protector, With Young Child, Art Print
8 X 10 Custom Art Print","
And if you would know God be not therefore a solver of riddles. Rather look about you and you shall see Him playing with your children. And look into space and you shall see Him walking the cloud, outstretching His arms in the lightning and descending in the rain. You shall see Him smiling in the flowers, then rising and waving His hands in the trees. ~ Kahlil Gibran"
"Wisdom Dragon Embellished Print","DRAG-EMB-PR","In the East, dragons have always been regarded as symbols of power and regality. In ancient times, only imperial rulers could use the icon of these wise and noble creatures. Dragons can bring good fortune and rain to the land, as well as give spiritual and material gifts to its people. They are truley magical and wise creatures, who will only fully reveal themselves to those mortals who are without fear.","
Custom Print Hand-embellished with Glitter and Crystals"
"Wisdom Dragon Print","DRAG-PL-PR","In the East, dragons have always been regarded as symbols of power and regality. In ancient times, only imperial rulers could use the icon of these wise and noble creatures. Dragons can bring good fortune and rain to the land, as well as give spiritual and material gifts to its people. They are truley magical and wise creatures, who will only fully reveal themselves to those mortals who are without fear.","
Custom Print"
"Goddess Durga Embellished Print","DUR-2-EMB-PR","Banisher of Darkness, Durga means Invincible. She is all forms of the Divine Mother herself. She is produced from the radiance of all the gods and therefore has their essence in her. Durga is the Divine Mother who protects people from selfishness, jealousy, hatred, anger and ego. She is the slayer of all evil (ignorance) and establisher of harmony. Mother's love and kindness towards her children is the best example of pure love in the universe.","
Custom Print Hand-embellished with Glitter and Crystals"
"Goddess Durga Card","DUR-2-PL","Goddess Durga Riding a Lion Card","
Greeting Card With Matching Envelope"
"Goddess Durga Print","DUR-2-PL-PR","Banisher of Darkness, Durga means Invincible. She is all forms of the Divine Mother herself. She is produced from the radiance of all the gods and therefore has their essence in her. Durga is the Divine Mother who protects people from selfishness, jealousy, hatred, anger and ego. She is the slayer of all evil (ignorance) and establisher of harmony. Mother's love and kindness towards her children is the best example of pure love in the universe.","
Custom Print"
"Goddess Fortuna Print","FORT-PL-PR","Goddess of Fortune - Prove to me now herewith sayeth the Lord of Hosts, if I will not open you the windows of Heaven and pour you out a blessing that there shall not be room enough to receive it. ~ Malachi 3:10","
Fortuna, Goddess of Fortune 8 X 10 Custom Art Print"
"Goddess Fortuna Embellished Print","FORT-EMB-PR","Fortuna, Goddess of Fortune - Prove to me now herewith sayeth the Lord of Hosts, if I will not open you the windows of Heaven and pour you out a blessing that there shall not be room enough to receive it. ~ Malachi 3:10","
Custom Print Hand-embellished with Glitter and Crystals"
"Archangel Gabriel Embellished Print","GAB-FLU-EMB-PR","Archangel Gabriel Playing The Flute, Hand-Embellished Print
Custom Print Hand-Embellished With Glitter and Crystals","
<p class=""smallprint"">Gabriel means ""God is my strength."" He is one of the most beloved and highest ranked of all angels.  Gabriel is the Angel of Annunciation, Resurrection, Mercy, Death and Revelation.  He sits at the left hand of God and is guardian of the Garden of Eden, and chief of the cherubim."
"Green Tara Embellished Print","GT-3-EMB-PR","Custom Print Hand-embellished with Glitter and Crystals",""
"Lord Ganesh Embellished Print","GAN-BLK-EMB-PR","Remover of Obstacles - In Hindu mythology, Lord Ganesh (or Ganesha) is the son of Lord Shiva and the Divine Mother Parvati. GANA means 'all existing beings in names and forms,' and ISHA means 'Lord.' Ganesh removes all obstacles and ensures success in human endeavors. He is an archetype of Wisdom and Beneficence.","
Custom Print Hand-Embellished with Glitter and Crystals"
"Durga Ma Embellished Print","DUR-OL-EMB-PR","Hindu Goddess Durga, Mother of The Universe Embellished Print
 ","
Custom Print, Hand-Embellished With Glitter and Crystals"
"Ganapati Print","GAN-BLK-PL-PR","Remover of Obstacles - In Hindu mythology, Lord Ganesh (or Ganesha) is the son of Lord Shiva and the Divine Mother Parvati. GANA means 'all existing beings in names and forms,' and ISHA means 'Lord.' Ganesh removes all obstacles and ensures success in human endeavors. He is an archetype of Wisdom and Beneficence.","
Ganesh 8X10 Art Print"
"Lord Ganesh Embellished Print","GAN-FL-EMB-PR","In Hindu mythology, Lord Ganesh (or Ganesha) is the son of Lord Shiva and the Divine Mother Parvati. GANA means 'all existing beings in names and forms,' and ISHA means 'Lord.' Ganesh removes all obstacles and ensures success in human endeavors. He is an archetype of Wisdom and Beneficence.","
Custom Print Hand-Embellished with Glitter and Crystals"
"Lord Ganesh Print","GAN-FL-PL-PR","Art In Hindu mythology, Lord Ganesh (or Ganesha) is the son of Lord Shiva and the Divine Mother Parvati. GANA means 'all existing beings in names and forms,' and ISHA means 'Lord.' Ganesh removes all obstacles and ensures success in human endeavors. He is an archetype of Wisdom and Beneficence.","
Ganesh 8X10 Art Print"
"Lord Ganesh Embellished Print","GAN-YE-EMB-PR","Remover of Obstacles - In Hindu mythology, Lord Ganesh (or Ganesha) is the son of Lord Shiva and the Divine Mother Parvati. GANA means 'all existing beings in names and forms,' and ISHA means 'Lord.' Ganesh removes all obstacles and ensures success in human endeavors. He is an archetype of Wisdom and Beneficence.","
Custom Print Hand-Embellished with Glitter and Crystals"
"Lord Ganesh Print","GAN-YE-PL-PR","Remover of Obstacles - In Hindu mythology, Lord Ganesh (or Ganesha) is the son of Lord Shiva and the Divine Mother Parvati. GANA means 'all existing beings in names and forms,' and ISHA means 'Lord.' Ganesh removes all obstacles and ensures success in human endeavors. He is an archetype of Wisdom and Beneficence.","
Ganesh 8 X 10 Art Print"
"Green Tara Embellished Print","GT-2-EMB-PR","Tara was born of a tear of Avalokiteshwara ~ she is the Mother of Compassion who answers all prayers. Tara appears in as many as 21 different forms and colors, of which White and Green are the oldest. Tara offers health, long life, growth, prosperity and protection to all who call on her.","
Custom Print, Hand-Embellished With Glitter and Crystals"
"Madonna Embellished Card","MA-LV-EMB","The Madonna, By Lorenzo Veneziano, 1357","
Greeting Card, Hand-Embellished With Glitter And Crystals, With Matching Envelope"
